area	plant	buds_number	buds_flower	flower_number	flower_fruit	fruit_number	fruit_successful	fruit_fruit	total_seeds	seed_branch	prop.visitation	agressiveness	pca.tot	ant_specie
1	1	6	0,67	4	1	4	3	0,75	24	8	0,51	alta	1,35	sole
1	1	4	0,25	1	1	1	1	1	5	5	0,7	alta	1,35	sole
1	1	4	0,75	3	0,67	2	2	1	36	18	0,44	alta	0,64	ecta
1	1	7	0,29	2	0,5	1	0	0	0	0	0,59	baixa	0,23	dory
1	1	4	0,75	3	0,67	2	1	0,5	5	5	0,55	alta	1,35	sole
1	1	4	1	4	1	4	3	0,75	27	9	0,51	baixa	0,23	dory
1	1	4	0,5	2	0,5	1	1	1	24	24	0,46	alta	0,64	ecta
1	1	2	0	0	0	2	0	0	0	0	0,61	alta	0,64	ecta
1	2	2	0,5	1	0	0	0	0	0	0	0,88	baixa	0,23	dory
1	2	3	1	3	1	3	1	0,33	7	7	0,7	baixa	0,23	dory
1	2	4	0,5	2	0,5	1	0	0	0	0	0,66	baixa	0,23	dory
1	2	3	0,67	2	1	2	1	0,5	17	17	0,88	baixa	0,23	dory
1	2	4	0,25	1	1	1	1	1	7	7	0,5	media	0,35	blandus
1	2	2	0	0	0	0	0	0	0	0	0,46	media	0,35	blandus
1	2	4	0,75	3	0,67	2	2	1	13	6,5	0,62	media	0,35	blandus
1	2	3	0	0	0	0	0	0	0	0	0,56	media	0,35	blandus
1	2	3	1	3	0,67	2	2	1	21	10,5	0,56	media	0,35	blandus
1	2	6	0,17	1	0	0	0	0	0	0	0,48	media	0,35	blandus
1	2	4	0,5	2	0,5	1	0	0	0	0	0,56	media	0,35	blandus
1	3	3	0,67	2	1	2	2	1	12	6	0,37	media	0,35	blandus
1	3	2	1	2	0,5	1	1	1	14	14	0,12	media	0,35	blandus
1	3	1	1	1	1	1	1	1	0	0	0,12	baixa	0,23	dory
1	3	1	1	1	0	0	0	0	0	0	0,19	media	0,35	blandus
1	3	3	0,33	1	0	0	0	0	2	0	0,08	media	0,35	blandus
1	3	2	1	2	1	2	2	1	45	22,5	0,37	baixa	0,23	dory
1	3	3	0	0	0	0	0	0	0	0	0,26	baixa	0,23	dory
2	4	7	0,86	6	0,67	4	4	1	40	10	0,37	alta	0,64	ecta
2	4	6	1	6	0,17	1	0	0	0	0	0,33	alta	0,64	ecta
2	6	5	0,8	4	0,25	1	1	1	8	8	0,38	baixa	0,23	dory
2	6	6	0,67	4	0,75	3	3	1	40	13,33	0,46	baixa	0,23	dory
2	6	4	1	5	1	5	3	0,6	25	8,33	0,46	baixa	0,23	dory
2	6	2	0	0	0	0	0	0	0	0	0,44	baixa	0,23	dory
2	6	1	0	0	0	0	0	0	0	0	0,33	baixa	0,23	dory
2	6	8	0,88	7	0,71	5	5	1	72	14,4	0,52	media	0,35	blandus
2	6	5	1	5	0,8	4	3	0,75	34	11,33	0,36	media	0,35	blandus
2	6	5	1	5	0,6	3	2	0,67	33	16,5	0,24	media	0,35	blandus
2	6	4	0,75	3	1	3	0	0	0	0	0,59	media	0,35	blandus
2	6	3	0,33	1	1	1	1	1	3	3	0,3	media	0,35	blandus
2	6	5	0,2	2	1	2	1	0,5	6	6	0,46	baixa	0,23	dory
2	6	4	1	4	1	4	4	1	23	5,75	0,44	baixa	0,23	dory
2	5	3	1	3	1	3	0	0	0	0	0,35	media	0,35	blandus
2	5	5	0,8	4	0,5	2	2	1	6	3	0,3	media	0,35	blandus
2	5	6	0,5	3	1	3	1	0,33	9	9	0,59	media	0,35	blandus
2	5	4	0,75	3	1	3	3	1	18	6	0,3	media	0,35	blandus
2	6	3	0,67	2	0,5	1	0	0	0	0	0,26	media	0,35	blandus
2	5	1	1	1	1	1	1	1	15	15	0,26	media	0,35	blandus
2	6	5	0,8	4	1	4	4	1	36	9	0,66	baixa	0,12	phei
2	4	3	0,67	2	1	2	1	0,5	15	15	0,85	alta	1,35	sole
2	5	1	0	0	0	0	0	0	0	0	0,15	media	0,35	blandus
2	5	1	0	0	0	0	0	0	0	0	0,15	media	0,35	blandus
2	5	1	1	1	1	1	1	1	6	6	0,19	media	0,35	blandus
2	5	3	1	3	1	3	2	0,67	10	5	0,37	media	0,35	blandus
2	5	3	0	0	0	0	0	0	0	0	0,52	media	0,35	blandus
2	5	3	1	3	1	3	1	0,33	0	0	0,56	media	0,35	blandus
3	7	1	1	1	1	1	0	0	0	0	0,59	media	0,35	blandus
3	7	1	1	1	1	1	1	1	8	8	0,52	media	0,35	blandus
3	7	2	1	2	1	2	2	1	10	5	0,44	media	0,35	blandus
3	7	4	0,75	3	1	3	3	1	26	8,67	0,63	media	0,35	blandus
3	7	2	0,5	1	0	0	0	0	0	0	0,48	media	0,35	blandus
3	8	2	1	2	0	0	0	0	0	0	1	baixa	0,23	dory
3	8	5	0,6	3	0,67	2	2	1	0	0	0,6	baixa	0,12	phei
3	8	6	1	6	0,67	4	3	0,75	11	3,67	0,96	baixa	0,12	phei
3	8	4	0,75	3	0,67	2	2	1	8	4	0,81	baixa	0,12	phei
3	8	3	0,67	2	0,5	1	1	1	0	0	0,81	baixa	0,23	dory
3	8	4	1	4	0,75	3	1	0,33	7	7	0,56	baixa	0,23	dory
3	8	2	0,5	1	1	1	1	1	32	32	0,81	baixa	0,23	dory
3	8	1	0	0	0	0	0	0	0	0	0,96	baixa	0,23	dory
3	8	1	1	1	1	1	0	0	0	0	0,7	baixa	0,23	dory
3	8	1	0	0	0	0	0	0	0	0	0,81	baixa	0,23	dory
3	8	2	1	2	0,5	1	1	1	1	1	0,81	baixa	0,23	dory
3	8	4	0,75	3	1	3	1	0,33	9	9	0,96	baixa	0,23	dory
3	8	3	0,67	3	1	3	2	0,67	26	8,67	0,85	baixa	0,23	dory
3	8	5	0,8	4	1	4	4	1	62	15,5	0,92	baixa	0,23	dory
3	10	3	1	3	1	3	3	1	7	2,33	0,27	media	0,35	blandus
3	10	2	1	2	0,5	1	1	1	4	4	0,31	media	0,35	blandus
3	10	1	1	1	1	1	1	1	27	27	0,52	media	0,35	blandus
2	5	5	0,4	2	0,5	1	1	1	3	3	0,63	media	0,35	blandus
3	8	2	1	2	0,5	1	1	1	26	26	0,67	baixa	0,23	dory
3	8	2	1	2	1	2	2	1	28	14	0,89	baixa	0,23	dory
3	8	5	1	5	0,8	4	3	0,75	57	19	1	baixa	0,23	dory
